candidate,family,role,method,hard_guardrail_status,warning_breach_count,duplicate_of,policy_compliant,eligible_for_selection,relative_expected_return_score,relative_risk_control_score,relative_implementation_score,relative_guardrail_resilience_score,relative_explainability_score,relative_balanced_decision_score,relative_robust_mean_score,robust_mean_rank,rank_best,rank_worst,top_1_frequency,top_3_frequency,selection_rank,pareto_risk_return,pareto_return_implementation,pareto_governance,pareto_comprehensive
Classical strict-warning reference,Step 5 / 5Q,Alternative risk-governance policy,Continuous classical optimization with warning limits hardened,PASS,0,,True,True,85.7%,100.0%,0.0%,72.9%,65.0%,0.675,0.675,1.33,1.0,3.0,83%,100%,1.0,True,False,True,True
Primary unrestricted classical,Step 5 / 5Q,Primary continuous benchmark,Full continuous classical optimization,PASS,5,,True,True,100.0%,1.7%,83.8%,40.1%,65.3%,0.567,0.559,1.83,1.0,2.0,17%,100%,2.0,True,True,True,True
Independent Qiskit QAOA,Step 5 / 5Q,Quantum-assisted decision candidate,QAOA active-set selection plus continuous refinement,PASS,5,,True,True,0.0%,0.0%,100.0%,5.1%,53.2%,0.263,0.274,2.83,2.0,3.0,0%,100%,3.0,False,True,False,True
Baseline | Current portfolio,Baseline,Incumbent benchmark,Current strategic allocation,PASS,5,,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 01_minimum_variance,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,BREACH,0,,False,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 02_mean_variance,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,BREACH,1,,False,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 03_asset_caps,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,BREACH,2,,False,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 04_guardrails,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,BREACH,2,,False,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 05_trading_costs,Step 4,Investable Step 4 benchmark,Deterministic classical constraint ladder,PASS,2,,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Step 4 | 06_scenario_aware,Step 4,Investable Step 4 benchmark,Deterministic classical constraint ladder,PASS,1,,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Classical-target-recovery exact audit,Step 5 / 5Q,Diagnostic-only target-recovery audit,Exact recovery of an already solved classical trade target,PASS,5,Primary unrestricted classical,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Independent exact active-set benchmark,Step 5 / 5Q,Exact reduced-problem benchmark,Exact active-set enumeration plus continuous refinement,PASS,5,Independent Qiskit QAOA,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Classical subset baseline: greedy,Step 5 / 5Q,Classical active-set benchmark,Greedy active-set selection plus continuous refinement,PASS,5,Independent Qiskit QAOA,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
Classical subset baseline: local_search,Step 5 / 5Q,Classical active-set benchmark,Local-search active-set selection plus continuous refinement,PASS,5,Independent Qiskit QAOA,True,False,nan%,nan%,nan%,nan%,nan%,,,,,,nan%,nan%,,False,False,False,False
