candidate,family,role,method,decision_eligible_declared,independent_selection,method_traceability
Baseline | Current portfolio,Baseline,Incumbent benchmark,Current strategic allocation,False,True,1.0
Step 4 | 01_minimum_variance,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,False,True,1.0
Step 4 | 02_mean_variance,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,False,True,1.0
Step 4 | 03_asset_caps,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,False,True,1.0
Step 4 | 04_guardrails,Step 4,Constraint-ladder diagnostic,Deterministic classical constraint ladder,False,True,1.0
Step 4 | 05_trading_costs,Step 4,Investable Step 4 benchmark,Deterministic classical constraint ladder,False,True,1.0
Step 4 | 06_scenario_aware,Step 4,Investable Step 4 benchmark,Deterministic classical constraint ladder,False,True,1.0
Primary unrestricted classical,Step 5 / 5Q,Primary continuous benchmark,Full continuous classical optimization,True,True,1.0
Independent Qiskit QAOA,Step 5 / 5Q,Quantum-assisted decision candidate,QAOA active-set selection plus continuous refi...,True,True,0.65
Classical-target-recovery exact audit,Step 5 / 5Q,Diagnostic-only target-recovery audit,Exact recovery of an already solved classical ...,False,False,0.8
Independent exact active-set benchmark,Step 5 / 5Q,Exact reduced-problem benchmark,Exact active-set enumeration plus continuous r...,True,True,0.95
Classical strict-warning reference,Step 5 / 5Q,Alternative risk-governance policy,Continuous classical optimization with warning...,True,True,1.0
Classical subset baseline: greedy,Step 5 / 5Q,Classical active-set benchmark,Greedy active-set selection plus continuous re...,True,True,0.9
Classical subset baseline: local_search,Step 5 / 5Q,Classical active-set benchmark,Local-search active-set selection plus continu...,True,True,0.9
